,ticker,5 YR Open,5 YR Close,Percentage Change,Annualized % Change,eps 2019,eps 2020,eps 2021,eps 2022,eps 2023,AVG Annual EPS,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
0,dis,111.0300,122.3600,10.204449247951002,2.0408898495902004,5.87,2.01,2.28,3.53,3.77,3.492,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,19-04-2022,BBB,High,1744489
1,gm,37.1000,45.3500,22.237196765498652,4.44743935309973,4.3,4.88,7.09,7.6,7.64,6.302,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,510,303,255,1068,17-04-2022,BBB,High,1467858
2,gww,300.9300,1017.3000,238.05203868009167,47.61040773601833,17.29,16.17,19.84,29.67,36.65,23.924,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,19-04-2022,BB,Medium,277135
3,mhk,126.1500,130.8900,3.7574316290130647,0.751486325802613,10.02,8.83,14.84,12.85,9.19,11.145999999999997,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,18-04-2022,BBB,High,851968
4,lyv,63.5400,105.7700,66.4620711362921,13.29241422725842,-0.07,-8.1,-3.01,0.79,1.3,-1.818,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,18-04-2022,BBB,High,1335258
5,lvs,60.9600,51.7000,-15.190288713910757,-3.0380577427821516,3.26,-2.12,-1.18,-1.2,1.86,0.12400000000000003,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,18-04-2022,BBB,High,1300514
6,clx,160.4600,153.1100,-4.58058083011342,-0.916116166022684,6.34,7.35,7.82,4.11,5.09,6.1419999999999995,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,560,350,345,1255,16-04-2022,A,High,21076
7,aacg,0.9900,1.0600,7.070707070707077,1.4141414141414155,-0.7626,-0.6251,-0.2008,-0.1606,0.0481,-0.3402,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,203,200,205,608,01-07-2022,B,Medium,1420529
8,aal,31.7600,15.3500,-51.66876574307305,-10.33375314861461,4.91,-19.87,-8.42,0.3,2.64,-4.088,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,270,211,265,746,16-04-2022,B,Medium,6201
9,aame,2.5500,2.8000,9.803921568627452,1.9607843137254903,-0.22,0.55,0.19,0.0479,-0.1893,0.07572000000000001,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,220,221,300,741,16-04-2022,B,Medium,8177
10,aaoi,12.2000,13.8600,13.606557377049183,2.721311475409837,-0.86,-0.94,-0.76,-1.02,-0.47,-0.8099999999999999,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,311,256,218,785,16-04-2022,BB,Medium,1158114
11,aaon,46.1800,88.1000,90.77522737115633,18.155045474231265,1.05,1.4,1.15,1.85,2.42,1.574,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,500,300,223,1023,16-04-2022,BBB,High,824142
12,aapl,189.9500,171.4800,-9.723611476704395,-1.944722295340879,2.98,3.27,5.62,6.11,6.12,4.82,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,16-04-2022,BB,Medium,320193
